"","name","character_name","type","filename","likelyGender"
"536","Cloris Leachman","Gran","Lead Ensemble Members","2020_7_The Croods_ A New Age.csv","female"
"537","Clark Duke","Thunk","Lead Ensemble Members","2020_7_The Croods_ A New Age.csv","male"
"538","Leslie Mann","Hope Betterman","Lead Ensemble Members","2020_7_The Croods_ A New Age.csv","female"
"539","Peter Dinklage","Phil Betterman","Lead Ensemble Members","2020_7_The Croods_ A New Age.csv","male"
"540","Kelly Marie Tran","Dawn Betterman","Lead Ensemble Members","2020_7_The Croods_ A New Age.csv","female"
"541","John David Washington","“The Protagonist”","Lead Ensemble Members","2020_8_Tenet.csv","male"
"542","Robert Pattinson","Neil","Lead Ensemble Members","2020_8_Tenet.csv","male"
"543","Elizabeth Debicki","Kat","Lead Ensemble Members","2020_8_Tenet.csv","female"
"544","Michael Caine","Crosby","Lead Ensemble Members","2020_8_Tenet.csv","male"
"545","Kenneth Branagh","Sator","Lead Ensemble Members","2020_8_Tenet.csv","male"
"546","Gal Gadot","Diana Prince/Wonder Woman","Leading Cast","2020_9_Wonder Woman 1984.csv","male"
"547","Chris Pine","Steve Trevor","Leading Cast","2020_9_Wonder Woman 1984.csv","male"
"548","Kristen Wiig","Barbara Ann Miverva/Cheetah","Leading Cast","2020_9_Wonder Woman 1984.csv","female"
"549","Pedro Pascal","Maxwell Lord","Leading Cast","2020_9_Wonder Woman 1984.csv","male"
"550","Tom Holland","Peter Parker/Spider-Man","Leading Cast","2021_0_Spider-Man_ No Way Home.csv","male"
"551","Simu Liu","Shang-Chi","Leading Cast","2021_1_Shang-Chi and the Legend of the Ten Rings.csv","male"
"552","Tom Hardy","Eddie Brock/Venom","Leading Cast","2021_2_Venom_ Let There be Carnage.csv","male"
"553","Woody Harrelson","Carnage","Leading Cast","2021_2_Venom_ Let There be Carnage.csv","male"
"554","Scarlett Johansson","Natasha Romanoff/Black Widow","Lead Ensemble Members","2021_3_Black Widow.csv","female"
"555","Florence Pugh","Yelena Belova","Lead Ensemble Members","2021_3_Black Widow.csv","female"
"556","Rachel Weisz","Melina","Lead Ensemble Members","2021_3_Black Widow.csv","female"
"557","David Harbour","Alexei/Red Guardian","Lead Ensemble Members","2021_3_Black Widow.csv","male"
"558","Ray Winstone","Dreykov","Lead Ensemble Members","2021_3_Black Widow.csv","male"
"559","O.T. Fagbenle","Mason","Lead Ensemble Members","2021_3_Black Widow.csv","male"
"560","Vin Diesel","Dominic Toretto","Lead Ensemble Members","2021_4_F9_ The Fast Saga.csv","male"
"561","Michelle Rodriguez","Letty Ortiz","Lead Ensemble Members","2021_4_F9_ The Fast Saga.csv","female"
"562","Tyrese Gibson","Roman Pearce","Lead Ensemble Members","2021_4_F9_ The Fast Saga.csv","male"
"563","Chris  Bridges","Tej Parker","Lead Ensemble Members","2021_4_F9_ The Fast Saga.csv","male"
"564","John Cena","Jakob Toretto","Lead Ensemble Members","2021_4_F9_ The Fast Saga.csv","male"
"565","Nathalie Emmanuel","Ramsey","Lead Ensemble Members","2021_4_F9_ The Fast Saga.csv","female"
"566","Jordana Brewster","Mia Toretto","Lead Ensemble Members","2021_4_F9_ The Fast Saga.csv","female"
"567","Kumail Nanjiani","Kingo","Lead Ensemble Members","2021_5_Eternals.csv","male"
"568","Angelina Jolie","Thena","Lead Ensemble Members","2021_5_Eternals.csv","female"
"569","Richard Madden","Ikaris","Lead Ensemble Members","2021_5_Eternals.csv","male"
"570","Salma Hayek","Ajak","Lead Ensemble Members","2021_5_Eternals.csv","female"
"571","Brian Tyree Henry","Phastos","Lead Ensemble Members","2021_5_Eternals.csv","male"
"572","Lauren Ridloff","Makkari","Lead Ensemble Members","2021_5_Eternals.csv","female"
"573","Barry Keoghan","Druig","Lead Ensemble Members","2021_5_Eternals.csv","male"
"574","Gemma Chan","Sersi","Lead Ensemble Members","2021_5_Eternals.csv","female"
"575","Lia McHugh","Sprite","Lead Ensemble Members","2021_5_Eternals.csv","female"
"576","Don Lee","Gilgamesh","Lead Ensemble Members","2021_5_Eternals.csv","male"
"577","Matthew McConaughey","Buster Moon","Lead Ensemble Members","2021_6_Sing 2.csv","male"
"578","Reese Witherspoon","Rosita","Lead Ensemble Members","2021_6_Sing 2.csv","female"
"579","Scarlett Johansson","Ash","Lead Ensemble Members","2021_6_Sing 2.csv","female"
"580","Taron Egerton","Johnny","Lead Ensemble Members","2021_6_Sing 2.csv","male"
"581","Tori Kelly","Meena","Lead Ensemble Members","2021_6_Sing 2.csv","female"
"582","Nick Kroll","Gunter","Lead Ensemble Members","2021_6_Sing 2.csv","male"
"583","Pharrell Williams","Alfonso","Lead Ensemble Members","2021_6_Sing 2.csv","male"
"584","Halsey","Porsha","Lead Ensemble Members","2021_6_Sing 2.csv","female"
"585","Letitia Wright","Nooshy","Lead Ensemble Members","2021_6_Sing 2.csv","female"
"586","Eric Andre","Darius","Lead Ensemble Members","2021_6_Sing 2.csv","male"
"587","Bono","Clay Calloway","Lead Ensemble Members","2021_6_Sing 2.csv","male"
"588","Daniel Craig","James Bond","Lead Ensemble Members","2021_7_No Time to Die.csv","male"
"589","Lea Seydoux","Dr. Madeleine Swann","Lead Ensemble Members","2021_7_No Time to Die.csv","female"
"590","Naomie Harris","Eve Moneypenny","Lead Ensemble Members","2021_7_No Time to Die.csv","female"
"591","Ana de Armas","Paloma","Lead Ensemble Members","2021_7_No Time to Die.csv","female"
"592","Ben Whishaw","Q","Lead Ensemble Members","2021_7_No Time to Die.csv","male"
"593","Rami Malek","Safin","Lead Ensemble Members","2021_7_No Time to Die.csv","male"
"594","Emily Blunt","Evelyn Abbott","Leading Cast","2021_8_A Quiet Place_ Part II.csv","female"
"595","Carrie Coon","Callie","Lead Ensemble Members","2021_9_Ghostbusters_ Afterlife.csv","female"
"596","Finn Wolfhard","Trevor","Lead Ensemble Members","2021_9_Ghostbusters_ Afterlife.csv","male"
"597","Mckenna Grace","Phoebe","Lead Ensemble Members","2021_9_Ghostbusters_ Afterlife.csv","female"
"598","Paul Rudd","Mr. Grooberson","Lead Ensemble Members","2021_9_Ghostbusters_ Afterlife.csv","male"
"599","Celeste O’ Conner","Trevor’s Classmate","Lead Ensemble Members","2021_9_Ghostbusters_ Afterlife.csv","female"
"600","Logan Kim","Phoebe’s Classmate","Lead Ensemble Members","2021_9_Ghostbusters_ Afterlife.csv","male"
"601","Tom Cruise","Pete “Maverick” Mitchell","Lead Ensemble Members","2022_0_Top Gun_ Maverick.csv","male"
"602","Miles Teller","Rooster","Lead Ensemble Members","2022_0_Top Gun_ Maverick.csv","male"
"603","Glen Powell","Hangman","Lead Ensemble Members","2022_0_Top Gun_ Maverick.csv","male"
"604","Lewis James Pullman","Bob","Lead Ensemble Members","2022_0_Top Gun_ Maverick.csv","male"
"605","Monica Barbaro","Phoenix","Lead Ensemble Members","2022_0_Top Gun_ Maverick.csv","female"
"606","Danny Ramirez","Fanboy","Lead Ensemble Members","2022_0_Top Gun_ Maverick.csv","male"
"607","Jay Ellis","Payback","Lead Ensemble Members","2022_0_Top Gun_ Maverick.csv","male"
"608","Greg Tarzan Davis","Coyote","Lead Ensemble Members","2022_0_Top Gun_ Maverick.csv","male"
"609","Jon Hamm","Cyclone","Lead Ensemble Members","2022_0_Top Gun_ Maverick.csv","male"
"610","Sam Worthington","Jake Sully","Leading Cast","2022_1_Avatar_ The Way of Water.csv","male"
"611","Zoe Saldana","Neytiri","Leading Cast","2022_1_Avatar_ The Way of Water.csv","female"
"612","Letitia Wright","Shuri","Lead Ensemble Members","2022_2_Black Panther_ Wakanda Forever.csv","female"
"613","Lupita Nyong'o","Nakia","Lead Ensemble Members","2022_2_Black Panther_ Wakanda Forever.csv","female"
"614","Danai Gurira","Okoye","Lead Ensemble Members","2022_2_Black Panther_ Wakanda Forever.csv","female"
"615","Winston Duke","M’Baku","Lead Ensemble Members","2022_2_Black Panther_ Wakanda Forever.csv","male"
"616","Dominique Thorne","Riri Williams/Ironheart","Lead Ensemble Members","2022_2_Black Panther_ Wakanda Forever.csv","female"
"617","Florence Kasumba","Ayo","Lead Ensemble Members","2022_2_Black Panther_ Wakanda Forever.csv","female"
"618","Michaela Coel","Aneka","Lead Ensemble Members","2022_2_Black Panther_ Wakanda Forever.csv","female"
"619","Tenoch Huerta","Namor","Lead Ensemble Members","2022_2_Black Panther_ Wakanda Forever.csv","male"
"620","Martin Freeman","Everett K. Ross","Lead Ensemble Members","2022_2_Black Panther_ Wakanda Forever.csv","male"
"621","Angela Bassett","Ramonda","Lead Ensemble Members","2022_2_Black Panther_ Wakanda Forever.csv","female"
"622","Benedict Cumberbatch","Dr. Stephen Strange","Lead Ensemble Members","2022_3_Doctor Strange in the Multiverse of Madness.csv","male"
"623","Elizabeth Olsen","Scarlett Witch","Lead Ensemble Members","2022_3_Doctor Strange in the Multiverse of Madness.csv","female"
"624","Chiwetel Ejiofor","Karl Mordo","Lead Ensemble Members","2022_3_Doctor Strange in the Multiverse of Madness.csv","male"
"625","Benedict Wong","Wong","Lead Ensemble Members","2022_3_Doctor Strange in the Multiverse of Madness.csv","male"
"626","Xochitl Gomez","America Chavez","Lead Ensemble Members","2022_3_Doctor Strange in the Multiverse of Madness.csv","female"
"627","Michael Stuhlbarg","Nicodemus West","Lead Ensemble Members","2022_3_Doctor Strange in the Multiverse of Madness.csv","male"
"628","Rachel McAdams","Dr. Christine Palmer","Lead Ensemble Members","2022_3_Doctor Strange in the Multiverse of Madness.csv","female"
"629","Chris Pratt","Owen Grady","Leading Cast","2022_4_Jurassic World_ Dominion.csv","male"
"630","Bryce Dallas Howard","Claire Dearing","Leading Cast","2022_4_Jurassic World_ Dominion.csv","male"
"631","Steve Carell","Gru","Leading Cast","2022_5_Minions_ The Rise of Gru.csv","male"
"632","Robert Pattinson","Bruce Wayne / Batman","Leading Cast","2022_6_The Batman.csv","male"
"633","Zoë Kravitz","Selina Kyle / Catwoman","Leading Cast","2022_6_The Batman.csv","female"
"634","Colin Farrell","Oswald “Oz” Cobblepot / Penguin","Leading Cast","2022_6_The Batman.csv","male"
"635","Paul Dano","Edward Nashton / Riddler","Leading Cast","2022_6_The Batman.csv","male"
"636","Chris Hemsworth","Thor","Lead Ensemble Members","2022_7_Thor_ Love and Thunder.csv","male"
"637","Christian Bale","Gorr the God Butcher","Lead Ensemble Members","2022_7_Thor_ Love and Thunder.csv","male"
"638","Tessa Thompson","King Valkyrie","Lead Ensemble Members","2022_7_Thor_ Love and Thunder.csv","female"
"639","Taika Waititi","Korg","Lead Ensemble Members","2022_7_Thor_ Love and Thunder.csv","female"
"640","Russell Crowe","Zeus","Lead Ensemble Members","2022_7_Thor_ Love and Thunder.csv","male"
"641","Natalie Portman","Jane Foster/Mighty Thor","Lead Ensemble Members","2022_7_Thor_ Love and Thunder.csv","female"
"642","Ben Schwartz","Sonic the Hedgehog","Lead Ensemble Members","2022_8_Sonic the Hedgehog 2.csv","male"
"643","Jim Carrey","Dr. Ivo Robotnik","Lead Ensemble Members","2022_8_Sonic the Hedgehog 2.csv","male"
"644","Idris Elba","Knuckles the Echidna","Lead Ensemble Members","2022_8_Sonic the Hedgehog 2.csv","male"
"645","Colleen O Shaughnessey","Miles “Tails” Prower","Lead Ensemble Members","2022_8_Sonic the Hedgehog 2.csv","female"
"646","James Marsden","Tom Wachowski","Lead Ensemble Members","2022_8_Sonic the Hedgehog 2.csv","male"
"647","Tika Sumpter","Maddie Wachowski","Lead Ensemble Members","2022_8_Sonic the Hedgehog 2.csv","female"
"648","Lee Majdoub","Stone","Lead Ensemble Members","2022_8_Sonic the Hedgehog 2.csv","male"
"649","Natasha Rothwell","Rachel","Lead Ensemble Members","2022_8_Sonic the Hedgehog 2.csv","female"
"650","Shemar Moore","Randall","Lead Ensemble Members","2022_8_Sonic the Hedgehog 2.csv","male"
"651","Antonio Banderas","Puss in Boots","Leading Cast","2022_9_Puss in Boots_ The Last Wish.csv","male"
"652","Salma Hayek","Kitty Softpaws","Leading Cast","2022_9_Puss in Boots_ The Last Wish.csv","female"
